order_item_id,order_id,product_id,quantity,unit_price,total_price
1,1,50,1,18.42,18.42
2,2,184,1,138.97,138.97
3,2,57,2,42.3,84.6
4,3,459,2,54.69,109.38
5,4,59,1,121.28,121.28
6,5,404,1,93.9,93.9
7,5,496,2,146.21,292.42
8,6,337,1,42.82,42.82
9,7,152,1,122.95,122.95
10,8,204,1,232.39,232.39
11,9,391,2,40.1,80.2
12,10,67,1,84.37,84.37
13,11,40,1,107.47,107.47
14,12,203,1,238.59,238.59
15,12,467,1,156.45,156.45
16,13,373,1,332.3,332.3
17,14,137,1,44.48,44.48
18,14,46,1,47.09,47.09
19,15,355,2,88.49,176.98
20,15,473,1,23.02,23.02
21,16,238,1,106.46,106.46
22,17,325,1,36.4,36.4
23,18,67,1,84.37,84.37
24,19,123,1,318.15,318.15
25,20,427,1,37.77,37.77
26,20,314,1,187.2,187.2
27,21,337,1,42.82,42.82
28,21,453,1,37.07,37.07
29,21,134,1,137.86,137.86
30,22,352,1,339.62,339.62
31,23,217,3,44.9,134.7
32,24,329,1,157.86,157.86
33,24,185,2,73.62,147.24
34,25,484,1,108.11,108.11
35,26,37,2,108.63,217.26
36,26,99,2,90.43,180.86
37,27,434,1,171.71,171.71
38,28,357,1,88.53,88.53
39,28,319,1,120.51,120.51
40,29,90,1,142.87,142.87
41,30,90,1,142.87,142.87
42,30,191,1,60.23,60.23
43,31,344,3,57.04,171.12
44,32,100,3,72.88,218.64
45,32,144,1,106.29,106.29
46,32,413,3,22.63,67.89
47,33,471,2,70.28,140.56
48,34,410,1,143.02,143.02
49,34,428,1,166.91,166.91
50,35,298,1,118.7,118.7
51,35,358,1,69.42,69.42
52,35,218,1,72.74,72.74
53,35,102,1,61.65,61.65
54,36,237,3,14.55,43.65
55,37,139,1,187.2,187.2
56,37,190,2,23.03,46.06
57,38,368,1,91.04,91.04
58,38,116,2,118.08,236.16
59,39,352,1,339.62,339.62
60,40,106,2,129.5,259.0
61,41,95,1,63.25,63.25
62,42,117,1,87.25,87.25
63,42,130,1,57.22,57.22
64,43,344,2,57.04,114.08
65,44,88,1,121.01,121.01
66,44,182,1,41.62,41.62
67,45,71,1,124.62,124.62
68,46,459,1,54.69,54.69
69,47,94,1,67.03,67.03
70,47,103,2,66.13,132.26
71,48,12,1,59.2,59.2
72,49,437,1,389.85,389.85
73,50,252,1,205.63,205.63
74,51,362,1,357.62,357.62
75,52,110,1,84.18,84.18
76,53,419,2,260.18,520.36
77,53,447,3,125.2,375.6
78,54,388,1,487.14,487.14
79,54,64,1,30.67,30.67
80,54,398,1,304.44,304.44
81,55,238,1,106.46,106.46
82,55,207,2,143.1,286.2
83,56,463,1,47.95,47.95
84,57,304,1,155.92,155.92
85,58,464,1,109.13,109.13
86,58,282,1,163.35,163.35
87,58,3,1,161.24,161.24
88,59,252,1,205.63,205.63
89,60,350,1,74.28,74.28
90,60,428,1,166.91,166.91
91,61,263,1,4.87,4.87
92,61,48,1,233.09,233.09
93,62,425,1,160.91,160.91
94,63,417,1,363.59,363.59
95,64,298,1,118.7,118.7
96,64,437,1,389.85,389.85
97,65,286,1,15.54,15.54
98,66,7,1,372.89,372.89
99,66,115,1,75.71,75.71
100,67,85,1,43.48,43.48
101,68,160,1,162.54,162.54
102,69,406,1,157.68,157.68
103,70,230,1,165.94,165.94
104,71,313,1,189.21,189.21
105,71,3,2,161.24,322.48
106,72,91,1,98.24,98.24
107,73,184,1,138.97,138.97
108,74,90,1,142.87,142.87
109,75,245,1,30.56,30.56
110,76,92,2,215.25,430.5
111,77,157,1,482.6,482.6
112,78,325,1,36.4,36.4
113,78,468,2,178.0,356.0
114,79,222,2,16.77,33.54
115,80,223,1,166.94,166.94
116,80,32,3,476.78,1430.34
117,81,109,1,113.5,113.5
118,81,436,1,96.22,96.22
119,82,42,2,105.03,210.06
120,82,40,1,107.47,107.47
121,83,318,2,68.09,136.18
122,84,55,1,227.67,227.67
123,85,116,1,118.08,118.08
124,86,499,1,40.93,40.93
125,86,317,1,166.29,166.29
126,87,161,1,37.44,37.44
127,87,99,1,90.43,90.43
128,88,29,1,52.43,52.43
129,88,294,1,193.38,193.38
130,89,221,1,722.84,722.84
131,89,152,1,122.95,122.95
132,90,47,1,59.47,59.47
133,91,117,1,87.25,87.25
134,91,239,1,49.62,49.62
135,92,9,1,59.0,59.0
136,92,437,1,389.85,389.85
137,93,64,1,30.67,30.67
138,93,105,2,77.85,155.7
139,94,462,1,92.92,92.92
140,94,260,2,180.76,361.52
141,94,71,1,124.62,124.62
142,94,61,1,58.48,58.48
143,95,346,1,110.92,110.92
144,96,201,1,124.21,124.21
145,96,216,1,178.23,178.23
146,96,224,1,21.08,21.08
147,96,472,1,11.34,11.34
148,97,372,1,140.92,140.92
149,98,409,1,100.31,100.31
150,99,173,1,83.98,83.98
151,100,261,1,39.09,39.09
152,101,128,1,54.07,54.07
153,102,112,1,87.89,87.89
154,103,213,1,212.43,212.43
155,104,227,1,95.38,95.38
156,104,220,1,96.9,96.9
157,105,216,1,178.23,178.23
158,105,130,1,57.22,57.22
159,106,19,1,39.76,39.76
160,107,133,1,34.6,34.6
161,107,412,1,32.71,32.71
162,108,215,2,67.78,135.56
163,109,453,1,37.07,37.07
164,109,443,1,14.0,14.0
165,110,450,1,34.7,34.7
166,110,470,1,53.61,53.61
167,111,135,2,39.35,78.7
168,112,298,2,118.7,237.4
169,113,279,1,95.85,95.85
170,113,156,1,47.33,47.33
171,113,259,1,134.21,134.21
172,114,297,1,202.28,202.28
173,115,395,2,260.21,520.42
174,115,353,1,194.78,194.78
175,116,481,1,80.23,80.23
176,117,194,2,29.34,58.68
177,118,164,1,43.01,43.01
178,118,272,1,24.72,24.72
179,119,126,1,646.39,646.39
180,120,213,1,212.43,212.43
181,121,387,1,122.44,122.44
182,122,289,1,115.92,115.92
183,123,339,1,130.53,130.53
184,124,84,2,56.46,112.92
185,125,500,2,25.93,51.86
186,126,94,1,67.03,67.03
187,126,87,1,205.17,205.17
