order_id,customer_id,order_date,status,total_amount
1,2440,2025-07-17 21:46:57,Purchased,18.42
2,2926,2025-06-22 06:26:14,Purchased,223.57
3,402,2025-06-29 19:38:09,Purchased,109.38
4,255,2025-05-25 08:41:40,Abandoned,121.28
5,1513,2025-10-15 08:17:33,Purchased,386.32
6,2607,2025-09-13 17:00:38,Cancelled,42.82
7,668,2025-03-09 11:14:57,Purchased,122.95
8,2886,2025-06-04 02:47:52,Abandoned,232.39
9,1939,2025-07-06 02:28:24,Purchased,80.2
10,2465,2024-11-09 22:39:56,Purchased,84.37
11,2142,2025-05-02 08:15:14,Purchased,107.47
12,1205,2025-02-02 07:46:07,Purchased,395.04
13,1162,2024-12-19 04:24:28,Purchased,332.3
14,2243,2025-06-18 10:38:15,Purchased,91.57
15,1546,2025-02-08 15:35:03,Abandoned,200.0
16,2733,2024-11-24 12:40:47,Purchased,106.46
17,1587,2025-02-20 15:18:31,Cancelled,36.4
18,1137,2024-12-19 17:36:08,Abandoned,84.37
19,2299,2025-07-10 11:44:39,Purchased,318.15
20,2336,2025-06-22 10:23:59,Purchased,224.97
21,78,2025-07-07 16:21:10,Abandoned,217.75
22,96,2024-10-31 09:53:09,Purchased,339.62
23,1565,2025-02-14 22:21:28,Purchased,134.7
24,1169,2025-06-23 01:38:30,Purchased,305.1
25,242,2025-03-13 14:58:32,Purchased,108.11
26,405,2025-04-19 14:26:10,Purchased,398.12
27,213,2025-10-21 07:27:34,Purchased,171.71
28,2084,2025-09-23 22:11:02,Purchased,209.04
29,1984,2025-07-04 19:32:24,Purchased,142.87
30,1103,2025-04-15 05:41:15,Purchased,203.1
31,344,2025-10-12 16:25:55,Purchased,171.12
32,1005,2025-04-10 13:59:14,Cancelled,392.82
33,2675,2025-01-02 17:45:56,Purchased,140.56
34,2449,2025-02-24 23:12:21,Abandoned,309.93
35,187,2025-09-19 11:43:00,Purchased,322.51
36,2794,2025-01-07 03:57:21,Purchased,43.65
37,1119,2025-07-14 02:40:53,Purchased,233.26
